instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
2	m4.2xlarge	16	64000	15408	100	160000000	632	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15408	100	160000000	634	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15408	100	160000000	638	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15408	100	160000000	642	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17334	100	180000000	728	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17334	100	180000000	732	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17334	100	180000000	734	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17334	100	180000000	742	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17334	100	180000000	762	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	19260	100	200000000	840	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	19260	100	200000000	842	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	19260	100	200000000	844	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	19260	100	200000000	846	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	19260	100	200000000	866	0.73813508679461	0.917837907061713	0.817114731721182
2	r4.2xlarge	16	122000	9530	1000	10000000	192	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9530	1000	10000000	192	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9530	1000	10000000	194	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9530	1000	10000000	194	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9530	1000	10000000	198	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9630	100	100000000	218	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9630	100	100000000	218	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9630	100	100000000	222	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9630	100	100000000	222	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	9630	100	100000000	224	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	11556	100	120000000	254	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	11556	100	120000000	254	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	11556	100	120000000	256	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	11556	100	120000000	256	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	11556	100	120000000	258	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	13482	100	140000000	284	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	13482	100	140000000	288	0.621439738915361	0.699904926309755	0.683905823195575
