instance_count	machine_type	slots	memory	data_size_MB	features	observations	k	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
2	m4.2xlarge	16	64000	16000	5	150000000	3	1126	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	16000	5	150000000	3	1127	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	16000	5	150000000	3	1151	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	16000	5	150000000	3	1156	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	16000	5	150000000	3	1216	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	16000	5	150000000	3	436	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	16000	5	150000000	3	446	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	16000	5	150000000	3	454	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	16000	5	150000000	3	568	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	16000	5	150000000	3	598	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	16000	5	150000000	3	236	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	16000	5	150000000	3	238	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	16000	5	150000000	3	240	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	16000	5	150000000	3	242	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	16000	5	150000000	3	244	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	16000	5	150000000	3	194	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	16000	5	150000000	3	194	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	16000	5	150000000	3	196	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	16000	5	150000000	3	198	0.73813508679461	0.917837907061713	0.817114731721182
8	m4.2xlarge	64	256000	16000	5	150000000	3	198	0.73813508679461	0.917837907061713	0.817114731721182
10	m4.2xlarge	80	320000	16000	5	150000000	3	150	0.73813508679461	0.917837907061713	0.817114731721182
10	m4.2xlarge	80	320000	16000	5	150000000	3	152	0.73813508679461	0.917837907061713	0.817114731721182
10	m4.2xlarge	80	320000	16000	5	150000000	3	154	0.73813508679461	0.917837907061713	0.817114731721182
