instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	150	1.0	0.975170773880192	0.995589462652916
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	152	1.0	0.975170773880192	0.995589462652916
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	154	1.0	0.975170773880192	0.995589462652916
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	156	1.0	0.975170773880192	0.995589462652916
2	c4.2xlarge	16	30000	15150	100	150000000	0.5	162	1.0	0.975170773880192	0.995589462652916
2	m4.2xlarge	16	64000	10100	100	100000000	0.0	116	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.0	116	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.0	116	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.0	116	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.0	120	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.25	136	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.25	136	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.25	136	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.25	136	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.25	136	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.5	156	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.5	158	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.5	158	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.5	158	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.5	160	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.75	174	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.75	176	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.75	178	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.75	180	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	0.75	184	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	1.0	198	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	1.0	202	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	1.0	204	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	1.0	204	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	10100	100	100000000	1.0	208	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.0	138	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.0	138	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.0	138	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.0	138	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.0	140	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.25	162	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.25	162	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.25	164	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.25	164	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.25	166	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.5	186	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.5	186	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.5	188	0.73813508679461	0.917837907061713	0.817114731721182
