instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	382	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	396	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	398	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	398	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	284	2000000	20000000	0.001	400	0.73813508679461	0.917837907061713	0.817114731721182
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	246	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	248	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	248	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	248	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0001	252	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	206	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	208	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	210	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	210	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.0005	210	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	190	0.621439738915361	0.699904926309755	0.683905823195575
