instance_count	machine_type	slots	memory	data_size_MB	examples	features	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
4	c4.2xlarge	32	60000	bigdata	1000000	100000	7444	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	1000000	100000	7782	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	1000000	100000	7175	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	1000000	100000	8613	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	1000000	100000	6062	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	300000	50000	1653	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	300000	50000	1395	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	300000	50000	1417	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	300000	50000	1455	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	300000	50000	1372	1.0	0.975170773880192	0.995589462652916
4	c4.large	8	12000	bigdata	1000000	100000	6598	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	1000000	100000	7543	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	1000000	100000	7132	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	1000000	100000	7345	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	1000000	100000	7622	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	300000	50000	6559	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	300000	50000	6335	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	300000	50000	5372	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	300000	50000	5403	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	300000	50000	6098	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.xlarge	16	28000	bigdata	1000000	100000	8161	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	1000000	100000	6829	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	1000000	100000	8678	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	1000000	100000	7163	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	1000000	100000	7115	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	300000	50000	2862	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	300000	50000	2893	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	300000	50000	2651	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	300000	50000	2855	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	300000	50000	2896	0.981580131098954	0.916863624781091	1.0
4	m4.2xlarge	32	128000	bigdata	1000000	100000	6201	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	1000000	100000	7416	0.73813508679461	0.917837907061713	0.817114731721182
