instance_count	machine_type	slots	memory	data_size_MB	pages	uservisits	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
12	m4.large	24	96000	bigdata	120000000	5000000000	740	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	bigdata	120000000	5000000000	711	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	bigdata	120000000	5000000000	672	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	1200000	10000000	516	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	1200000	10000000	492	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	1200000	10000000	504	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	1200000	10000000	516	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	1200000	10000000	489	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.xlarge	48	192000	bigdata	120000000	5000000000	441	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	120000000	5000000000	478	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	120000000	5000000000	441	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	120000000	5000000000	541	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	120000000	5000000000	433	0.724716697086843	0.939577226630061	0.806717869741047
12	r4.2xlarge	96	732000	bigdata	120000000	5000000000	338	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	120000000	5000000000	305	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	120000000	5000000000	301	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	120000000	5000000000	278	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	120000000	5000000000	346	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	1200000	10000000	295	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	1200000	10000000	359	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	1200000	10000000	280	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	1200000	10000000	251	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	1200000	10000000	331	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.large	24	180000	bigdata	120000000	5000000000	763	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	120000000	5000000000	777	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	120000000	5000000000	703	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	120000000	5000000000	748	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	120000000	5000000000	780	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	1200000	10000000	493	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	1200000	10000000	444	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	1200000	10000000	502	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	1200000	10000000	609	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	1200000	10000000	485	0.626835516578723	1.0	0.670704216951795
12	r4.xlarge	48	360000	bigdata	120000000	5000000000	485	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	120000000	5000000000	474	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	120000000	5000000000	476	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	120000000	5000000000	403	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	120000000	5000000000	426	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	1200000	10000000	373	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	1200000	10000000	282	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	1200000	10000000	304	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	1200000	10000000	419	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	1200000	10000000	318	0.621758403741034	0.91340066266808	0.680859830691666
16	c4.large	32	48000	bigdata	120000000	5000000000	602	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	bigdata	120000000	5000000000	635	0.958215477247805	0.963738302503114	0.959066866763844
