instance_count	machine_type	slots	memory	data_size_MB	pages	convergence_criterion	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
12	m4.2xlarge	96	384000	bigdata	50000000	0.0	280	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	bigdata	50000000	0.0	329	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	bigdata	50000000	0.0	257	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	huge	5000000	0.0	225	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	huge	5000000	0.0	239	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	huge	5000000	0.0	219	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	huge	5000000	0.0	224	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	huge	5000000	0.0	212	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.large	24	96000	bigdata	50000000	0.0	979	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	bigdata	50000000	0.0	1124	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	bigdata	50000000	0.0	956	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	bigdata	50000000	0.0	876	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	bigdata	50000000	0.0	1091	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	5000000	0.0	352	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	5000000	0.0	410	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	5000000	0.0	501	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	5000000	0.0	380	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	5000000	0.0	395	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.xlarge	48	192000	bigdata	50000000	0.0	462	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	50000000	0.0	553	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	50000000	0.0	583	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	50000000	0.0	581	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	50000000	0.0	454	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	huge	5000000	0.0	240	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	huge	5000000	0.0	256	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	huge	5000000	0.0	254	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	huge	5000000	0.0	263	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	huge	5000000	0.0	249	0.724716697086843	0.939577226630061	0.806717869741047
12	r4.2xlarge	96	732000	bigdata	50000000	0.0	255	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	50000000	0.0	262	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	50000000	0.0	231	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	50000000	0.0	293	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	50000000	0.0	222	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	5000000	0.0	156	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	5000000	0.0	197	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	5000000	0.0	176	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	5000000	0.0	195	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	5000000	0.0	198	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.large	24	180000	bigdata	50000000	0.0	762	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	50000000	0.0	840	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	50000000	0.0	678	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	50000000	0.0	593	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	50000000	0.0	530	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	5000000	0.0	411	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	5000000	0.0	287	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	5000000	0.0	331	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	5000000	0.0	375	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	5000000	0.0	384	0.626835516578723	1.0	0.670704216951795
12	r4.xlarge	48	360000	bigdata	50000000	0.0	374	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	50000000	0.0	421	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	50000000	0.0	439	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	50000000	0.0	454	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	50000000	0.0	414	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	5000000	0.0	257	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	5000000	0.0	308	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	5000000	0.0	277	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	5000000	0.0	238	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	5000000	0.0	212	0.621758403741034	0.91340066266808	0.680859830691666
16	c4.large	32	48000	huge	5000000	0.0	405	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	5000000	0.0	522	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	5000000	0.0	538	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	5000000	0.0	470	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	5000000	0.0	511	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.xlarge	64	112000	huge	5000000	0.0	250	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	5000000	0.0	243	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	5000000	0.0	253	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	5000000	0.0	264	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	5000000	0.0	313	0.981580131098954	0.916863624781091	1.0
16	m4.large	32	128000	bigdata	50000000	0.0	826	0.719976297083032	0.963352406209638	0.757775976316556
