instance_count	machine_type	slots	memory	data_size_MB	use_dense	examples	features	pages	classes	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
4	m4.large	8	32000	huge	False	10000	1000	500000	100	3617	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	False	10000	1000	500000	100	3908	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	False	10000	1000	500000	100	2834	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.xlarge	16	64000	bigdata	False	10000	100000	20000000	20000	4027	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	False	10000	100000	20000000	20000	2689	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	False	10000	100000	20000000	20000	3832	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	False	10000	100000	20000000	20000	3035	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	False	10000	100000	20000000	20000	3270	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	False	10000	1000	500000	100	1749	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	False	10000	1000	500000	100	1496	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	False	10000	1000	500000	100	1448	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	False	10000	1000	500000	100	1521	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	False	10000	1000	500000	100	1707	0.724716697086843	0.939577226630061	0.806717869741047
4	r4.2xlarge	32	244000	bigdata	False	10000	100000	20000000	20000	1967	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	False	10000	100000	20000000	20000	1487	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	False	10000	100000	20000000	20000	1553	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	False	10000	100000	20000000	20000	1780	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	bigdata	False	10000	100000	20000000	20000	2135	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	False	10000	1000	500000	100	886	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	False	10000	1000	500000	100	874	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	False	10000	1000	500000	100	785	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	False	10000	1000	500000	100	759	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.2xlarge	32	244000	huge	False	10000	1000	500000	100	818	0.621439738915361	0.699904926309755	0.683905823195575
4	r4.large	8	60000	bigdata	False	10000	100000	20000000	20000	7938	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	bigdata	False	10000	100000	20000000	20000	5357	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	bigdata	False	10000	100000	20000000	20000	7671	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	bigdata	False	10000	100000	20000000	20000	6506	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	bigdata	False	10000	100000	20000000	20000	7519	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	huge	False	10000	1000	500000	100	3571	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	huge	False	10000	1000	500000	100	3463	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	huge	False	10000	1000	500000	100	3169	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	huge	False	10000	1000	500000	100	3632	0.626835516578723	1.0	0.670704216951795
4	r4.large	8	60000	huge	False	10000	1000	500000	100	3797	0.626835516578723	1.0	0.670704216951795
4	r4.xlarge	16	120000	bigdata	False	10000	100000	20000000	20000	3459	0.621758403741034	0.91340066266808	0.680859830691666
4	r4.xlarge	16	120000	bigdata	False	10000	100000	20000000	20000	3535	0.621758403741034	0.91340066266808	0.680859830691666
4	r4.xlarge	16	120000	bigdata	False	10000	100000	20000000	20000	3329	0.621758403741034	0.91340066266808	0.680859830691666
4	r4.xlarge	16	120000	bigdata	False	10000	100000	20000000	20000	3752	0.621758403741034	0.91340066266808	0.680859830691666
4	r4.xlarge	16	120000	bigdata	False	10000	100000	20000000	20000	3114	0.621758403741034	0.91340066266808	0.680859830691666
4	r4.xlarge	16	120000	huge	False	10000	1000	500000	100	1238	0.621758403741034	0.91340066266808	0.680859830691666
4	r4.xlarge	16	120000	huge	False	10000	1000	500000	100	1615	0.621758403741034	0.91340066266808	0.680859830691666
4	r4.xlarge	16	120000	huge	False	10000	1000	500000	100	1600	0.621758403741034	0.91340066266808	0.680859830691666
4	r4.xlarge	16	120000	huge	False	10000	1000	500000	100	1779	0.621758403741034	0.91340066266808	0.680859830691666
4	r4.xlarge	16	120000	huge	False	10000	1000	500000	100	1576	0.621758403741034	0.91340066266808	0.680859830691666
6	c4.2xlarge	48	90000	bigdata	False	10000	100000	20000000	20000	1267	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	bigdata	False	10000	100000	20000000	20000	1133	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	bigdata	False	10000	100000	20000000	20000	900	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	bigdata	False	10000	100000	20000000	20000	1010	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	bigdata	False	10000	100000	20000000	20000	831	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	huge	False	10000	1000	500000	100	541	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	huge	False	10000	1000	500000	100	484	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	huge	False	10000	1000	500000	100	513	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	huge	False	10000	1000	500000	100	455	1.0	0.975170773880192	0.995589462652916
6	c4.2xlarge	48	90000	huge	False	10000	1000	500000	100	488	1.0	0.975170773880192	0.995589462652916
6	c4.large	12	18000	bigdata	False	10000	100000	20000000	20000	4504	0.958215477247805	0.963738302503114	0.959066866763844
6	c4.large	12	18000	bigdata	False	10000	100000	20000000	20000	4189	0.958215477247805	0.963738302503114	0.959066866763844
6	c4.large	12	18000	bigdata	False	10000	100000	20000000	20000	4433	0.958215477247805	0.963738302503114	0.959066866763844
6	c4.large	12	18000	bigdata	False	10000	100000	20000000	20000	3680	0.958215477247805	0.963738302503114	0.959066866763844
6	c4.large	12	18000	bigdata	False	10000	100000	20000000	20000	4045	0.958215477247805	0.963738302503114	0.959066866763844
6	c4.large	12	18000	huge	False	10000	1000	500000	100	2167	0.958215477247805	0.963738302503114	0.959066866763844
6	c4.large	12	18000	huge	False	10000	1000	500000	100	1788	0.958215477247805	0.963738302503114	0.959066866763844
6	c4.large	12	18000	huge	False	10000	1000	500000	100	1730	0.958215477247805	0.963738302503114	0.959066866763844
