instance_count	machine_type	slots	memory	data_size_MB	examples	features	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
10	r4.2xlarge	80	610000	bigdata	10000	700000	2438	0.621439738915361	0.699904926309755	0.683905823195575
10	r4.2xlarge	80	610000	huge	10000	300000	2118	0.621439738915361	0.699904926309755	0.683905823195575
10	r4.2xlarge	80	610000	huge	10000	300000	2038	0.621439738915361	0.699904926309755	0.683905823195575
10	r4.2xlarge	80	610000	huge	10000	300000	2162	0.621439738915361	0.699904926309755	0.683905823195575
10	r4.2xlarge	80	610000	huge	10000	300000	1945	0.621439738915361	0.699904926309755	0.683905823195575
10	r4.2xlarge	80	610000	huge	10000	300000	2594	0.621439738915361	0.699904926309755	0.683905823195575
10	r4.large	20	150000	bigdata	10000	700000	2265	0.626835516578723	1.0	0.670704216951795
10	r4.large	20	150000	bigdata	10000	700000	2038	0.626835516578723	1.0	0.670704216951795
10	r4.large	20	150000	bigdata	10000	700000	2330	0.626835516578723	1.0	0.670704216951795
10	r4.large	20	150000	bigdata	10000	700000	2079	0.626835516578723	1.0	0.670704216951795
10	r4.large	20	150000	bigdata	10000	700000	1737	0.626835516578723	1.0	0.670704216951795
10	r4.large	20	150000	huge	10000	300000	1168	0.626835516578723	1.0	0.670704216951795
10	r4.large	20	150000	huge	10000	300000	1160	0.626835516578723	1.0	0.670704216951795
10	r4.large	20	150000	huge	10000	300000	1169	0.626835516578723	1.0	0.670704216951795
10	r4.large	20	150000	huge	10000	300000	1332	0.626835516578723	1.0	0.670704216951795
10	r4.large	20	150000	huge	10000	300000	892	0.626835516578723	1.0	0.670704216951795
10	r4.xlarge	40	300000	bigdata	10000	700000	2118	0.621758403741034	0.91340066266808	0.680859830691666
10	r4.xlarge	40	300000	bigdata	10000	700000	2364	0.621758403741034	0.91340066266808	0.680859830691666
10	r4.xlarge	40	300000	bigdata	10000	700000	2451	0.621758403741034	0.91340066266808	0.680859830691666
10	r4.xlarge	40	300000	bigdata	10000	700000	2102	0.621758403741034	0.91340066266808	0.680859830691666
10	r4.xlarge	40	300000	bigdata	10000	700000	2184	0.621758403741034	0.91340066266808	0.680859830691666
10	r4.xlarge	40	300000	huge	10000	300000	1338	0.621758403741034	0.91340066266808	0.680859830691666
10	r4.xlarge	40	300000	huge	10000	300000	1485	0.621758403741034	0.91340066266808	0.680859830691666
10	r4.xlarge	40	300000	huge	10000	300000	1697	0.621758403741034	0.91340066266808	0.680859830691666
10	r4.xlarge	40	300000	huge	10000	300000	1443	0.621758403741034	0.91340066266808	0.680859830691666
10	r4.xlarge	40	300000	huge	10000	300000	1364	0.621758403741034	0.91340066266808	0.680859830691666
12	c4.2xlarge	96	180000	bigdata	10000	700000	2458	1.0	0.975170773880192	0.995589462652916
12	c4.2xlarge	96	180000	bigdata	10000	700000	2892	1.0	0.975170773880192	0.995589462652916
12	c4.2xlarge	96	180000	bigdata	10000	700000	2872	1.0	0.975170773880192	0.995589462652916
12	c4.2xlarge	96	180000	bigdata	10000	700000	2748	1.0	0.975170773880192	0.995589462652916
12	c4.2xlarge	96	180000	bigdata	10000	700000	2783	1.0	0.975170773880192	0.995589462652916
12	c4.2xlarge	96	180000	huge	10000	300000	1795	1.0	0.975170773880192	0.995589462652916
12	c4.2xlarge	96	180000	huge	10000	300000	1679	1.0	0.975170773880192	0.995589462652916
12	c4.2xlarge	96	180000	huge	10000	300000	1595	1.0	0.975170773880192	0.995589462652916
12	c4.2xlarge	96	180000	huge	10000	300000	1699	1.0	0.975170773880192	0.995589462652916
12	c4.2xlarge	96	180000	huge	10000	300000	1724	1.0	0.975170773880192	0.995589462652916
12	c4.large	24	36000	bigdata	10000	700000	4207	0.958215477247805	0.963738302503114	0.959066866763844
12	c4.large	24	36000	bigdata	10000	700000	4588	0.958215477247805	0.963738302503114	0.959066866763844
12	c4.large	24	36000	bigdata	10000	700000	4476	0.958215477247805	0.963738302503114	0.959066866763844
12	c4.large	24	36000	bigdata	10000	700000	3904	0.958215477247805	0.963738302503114	0.959066866763844
12	c4.large	24	36000	bigdata	10000	700000	5343	0.958215477247805	0.963738302503114	0.959066866763844
12	c4.large	24	36000	huge	10000	300000	1776	0.958215477247805	0.963738302503114	0.959066866763844
12	c4.large	24	36000	huge	10000	300000	1952	0.958215477247805	0.963738302503114	0.959066866763844
12	c4.large	24	36000	huge	10000	300000	2132	0.958215477247805	0.963738302503114	0.959066866763844
12	c4.large	24	36000	huge	10000	300000	1879	0.958215477247805	0.963738302503114	0.959066866763844
12	c4.large	24	36000	huge	10000	300000	2170	0.958215477247805	0.963738302503114	0.959066866763844
12	c4.xlarge	48	84000	bigdata	10000	700000	3459	0.981580131098954	0.916863624781091	1.0
12	c4.xlarge	48	84000	bigdata	10000	700000	4000	0.981580131098954	0.916863624781091	1.0
12	c4.xlarge	48	84000	bigdata	10000	700000	3894	0.981580131098954	0.916863624781091	1.0
12	c4.xlarge	48	84000	bigdata	10000	700000	5087	0.981580131098954	0.916863624781091	1.0
12	c4.xlarge	48	84000	bigdata	10000	700000	3610	0.981580131098954	0.916863624781091	1.0
12	c4.xlarge	48	84000	huge	10000	300000	1714	0.981580131098954	0.916863624781091	1.0
12	c4.xlarge	48	84000	huge	10000	300000	1775	0.981580131098954	0.916863624781091	1.0
12	c4.xlarge	48	84000	huge	10000	300000	1743	0.981580131098954	0.916863624781091	1.0
12	c4.xlarge	48	84000	huge	10000	300000	1689	0.981580131098954	0.916863624781091	1.0
12	c4.xlarge	48	84000	huge	10000	300000	1856	0.981580131098954	0.916863624781091	1.0
12	m4.2xlarge	96	384000	bigdata	10000	700000	2661	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	bigdata	10000	700000	2501	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	bigdata	10000	700000	2476	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	bigdata	10000	700000	2709	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	bigdata	10000	700000	2062	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	huge	10000	300000	1664	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	huge	10000	300000	1664	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	huge	10000	300000	1664	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	huge	10000	300000	1752	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.2xlarge	96	384000	huge	10000	300000	1536	0.73813508679461	0.917837907061713	0.817114731721182
12	m4.large	24	96000	bigdata	10000	700000	3060	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	bigdata	10000	700000	2935	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	bigdata	10000	700000	2673	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	bigdata	10000	700000	2448	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	bigdata	10000	700000	2861	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	10000	300000	1213	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	10000	300000	1290	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	10000	300000	1195	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	10000	300000	1559	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.large	24	96000	huge	10000	300000	1484	0.719976297083032	0.963352406209638	0.757775976316556
12	m4.xlarge	48	192000	bigdata	10000	700000	2605	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	10000	700000	2428	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	10000	700000	2351	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	10000	700000	2193	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	bigdata	10000	700000	2370	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	huge	10000	300000	1601	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	huge	10000	300000	1641	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	huge	10000	300000	1695	0.724716697086843	0.939577226630061	0.806717869741047
