instance_count	machine_type	slots	memory	data_size_MB	num_of_clusters	dimensions	num_of_samples	samples_per_inputfile	max_iteration	k	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
48	c4.large	96	144000	bigdata	5	20	1200000000	40000000	10	10	1266	0.958215477247805	0.963738302503114	0.959066866763844
48	c4.large	96	144000	bigdata	5	20	1200000000	40000000	10	10	1209	0.958215477247805	0.963738302503114	0.959066866763844
48	c4.large	96	144000	bigdata	5	20	1200000000	40000000	10	10	1469	0.958215477247805	0.963738302503114	0.959066866763844
48	c4.large	96	144000	bigdata	5	20	1200000000	40000000	10	10	1472	0.958215477247805	0.963738302503114	0.959066866763844
48	c4.large	96	144000	bigdata	5	20	1200000000	40000000	10	10	1542	0.958215477247805	0.963738302503114	0.959066866763844
48	c4.large	96	144000	huge	5	20	100000000	20000000	5	10	689	0.958215477247805	0.963738302503114	0.959066866763844
48	c4.large	96	144000	huge	5	20	100000000	20000000	5	10	685	0.958215477247805	0.963738302503114	0.959066866763844
48	c4.large	96	144000	huge	5	20	100000000	20000000	5	10	725	0.958215477247805	0.963738302503114	0.959066866763844
48	c4.large	96	144000	huge	5	20	100000000	20000000	5	10	789	0.958215477247805	0.963738302503114	0.959066866763844
48	c4.large	96	144000	huge	5	20	100000000	20000000	5	10	703	0.958215477247805	0.963738302503114	0.959066866763844
48	m4.large	96	384000	bigdata	5	20	1200000000	40000000	10	10	920	0.719976297083032	0.963352406209638	0.757775976316556
48	m4.large	96	384000	bigdata	5	20	1200000000	40000000	10	10	891	0.719976297083032	0.963352406209638	0.757775976316556
48	m4.large	96	384000	bigdata	5	20	1200000000	40000000	10	10	930	0.719976297083032	0.963352406209638	0.757775976316556
48	m4.large	96	384000	bigdata	5	20	1200000000	40000000	10	10	1026	0.719976297083032	0.963352406209638	0.757775976316556
48	m4.large	96	384000	bigdata	5	20	1200000000	40000000	10	10	917	0.719976297083032	0.963352406209638	0.757775976316556
48	r4.large	96	720000	bigdata	5	20	1200000000	40000000	10	10	407	0.626835516578723	1.0	0.670704216951795
48	r4.large	96	720000	bigdata	5	20	1200000000	40000000	10	10	419	0.626835516578723	1.0	0.670704216951795
48	r4.large	96	720000	bigdata	5	20	1200000000	40000000	10	10	393	0.626835516578723	1.0	0.670704216951795
48	r4.large	96	720000	bigdata	5	20	1200000000	40000000	10	10	277	0.626835516578723	1.0	0.670704216951795
48	r4.large	96	720000	bigdata	5	20	1200000000	40000000	10	10	377	0.626835516578723	1.0	0.670704216951795
